[COT 2020-07-07 01:18:09] 76561197997236738: Item set  spawned on <11780.533203, 6.173355, 3436.052490>
[COT 2020-07-07 01:18:48] 76561197997236738: Spawned Entity Steak Knife (SteakKnife<9471f820>, -1, 50) at <11762.378906, 6.106718, 3444.364258>
[COT 2020-07-07 01:19:55] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<135d9c50>, -1, 100) at <6897.481934, 404.994293, 11447.132813>
[COT 2020-07-07 01:19:57] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<135e4bd0>, -1, 100) at <6897.481934, 404.994293, 11447.132813>
[COT 2020-07-07 01:19:57] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<135e5320>, -1, 100) at <6897.481934, 404.994293, 11447.132813>
[COT 2020-07-07 01:19:57] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<135e61c0>, -1, 100) at <6897.481934, 404.994293, 11447.132813>
[COT 2020-07-07 01:20:00] 76561197997236738: Item set  spawned on <12485.442383, 6.747685, 3554.670166>
[COT 2020-07-07 01:20:01] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<135e2740>, -1, 100) at <6897.481934, 404.994293, 11447.132813>
[COT 2020-07-07 01:20:01] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<135e7f00>, -1, 100) at <6897.481934, 404.994293, 11447.132813>
[COT 2020-07-07 01:20:02] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<135e1150>, -1, 100) at <6897.481934, 404.994293, 11447.132813>
[COT 2020-07-07 01:20:02] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<135e8650>, -1, 100) at <6897.481934, 404.994293, 11447.132813>
[COT 2020-07-07 01:20:03] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<135e18a0>, -1, 100) at <6897.481934, 404.994293, 11447.132813>
[COT 2020-07-07 01:20:03] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<135e8da0>, -1, 100) at <6897.481934, 404.994293, 11447.132813>
[COT 2020-07-07 01:20:04] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<135e1ff0>, -1, 100) at <6887.310547, 408.919220, 11449.373047>
[COT 2020-07-07 01:20:04] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<135e94f0>, -1, 100) at <6887.310547, 408.919220, 11449.373047>
[COT 2020-07-07 01:20:05] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<135efb50>, -1, 100) at <6897.481934, 404.994293, 11447.132813>
[COT 2020-07-07 01:20:05] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<135f02a0>, -1, 100) at <6897.481934, 404.994293, 11447.132813>
[COT 2020-07-07 01:20:05] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<135ea390>, -1, 100) at <6897.481934, 404.994293, 11447.132813>
[COT 2020-07-07 01:20:05] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<135f1fe0>, -1, 100) at <6897.481934, 404.994293, 11447.132813>
[COT 2020-07-07 01:20:07] 76561198050722159: Spawned Entity MVS - ERDL (ModularVestSystem_Base<9519cc90>, -1, 100) at <6897.481934, 404.994293, 11447.132813>
[COT 2020-07-07 01:20:07] 76561198050722159: Spawned Entity MVS - ERDL (ModularVestSystem_Base<9519d3e0>, -1, 100) at <6897.481934, 404.994293, 11447.132813>
[COT 2020-07-07 01:20:07] 76561198050722159: Spawned Entity MVS - ERDL (ModularVestSystem_Base<9519db30>, -1, 100) at <6897.481934, 404.994293, 11447.132813>
[COT 2020-07-07 01:20:18] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<9519e280>, -1, 100) at <6883.166504, 408.911713, 11447.694336>
[COT 2020-07-07 01:20:18] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<9519e9d0>, -1, 100) at <6883.166504, 408.911713, 11447.694336>
[COT 2020-07-07 01:20:18] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<95197c20>, -1, 100) at <6883.166504, 408.911713, 11447.694336>
[COT 2020-07-07 01:20:18] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<95199210>, -1, 100) at <6883.166504, 408.911713, 11447.694336>
[COT 2020-07-07 01:20:19] 76561198050722159: Spawned Entity MVS - OD (ModularVestSystem_Base<9519f120>, -1, 100) at <6883.166504, 408.911713, 11447.694336>
[COT 2020-07-07 01:20:23] 76561198050722159: Teleported to position <6884.384277, 405.766052, 11440.627930>
[COT 2020-07-07 01:27:47] 76561198050722159: Set the date to 2020/8/10 9:21
[COT 2020-07-07 01:27:47] 76561198050722159: Set the date to 2020/8/10 9:21
[COT 2020-07-07 01:27:49] 76561198050722159: Set rain to 0.29 0 0
[COT 2020-07-07 01:27:49] 76561198050722159: Set storm to 0.0841 0.8 4000
[COT 2020-07-07 01:27:49] 76561198050722159: Set rain to 0.29 0 0
[COT 2020-07-07 01:27:49] 76561198050722159: Set storm to 0.0841 0.8 4000
[COT 2020-07-07 01:27:50] 76561198050722159: Set rain to 0 0 0
[COT 2020-07-07 01:27:50] 76561198050722159: Set storm to 0 0.8 4000
[COT 2020-07-07 01:27:50] 76561198050722159: Set rain to 0 0 0
[COT 2020-07-07 01:27:50] 76561198050722159: Set storm to 0 0.8 4000
[COT 2020-07-07 01:27:52] 76561198050722159: Set fog to 0.01 0 0
[COT 2020-07-07 01:27:52] 76561198050722159: Set fog to 0.01 0 0
[COT 2020-07-07 01:27:52] 76561198050722159: Set wind to 19.4725 0.01 1
[COT 2020-07-07 01:27:52] 76561198050722159: Set wind to 19.4725 0.01 1
[COT 2020-07-07 01:27:56] 76561198050722159: Set overcast to 0.784842 0 0
[COT 2020-07-07 01:27:56] 76561198050722159: Set the date to 2020/8/10 9:26
[COT 2020-07-07 01:27:56] 76561198050722159: Set overcast to 0.01 0 0
[COT 2020-07-07 01:27:56] 76561198050722159: Set the date to 2020/8/10 9:26
[COT 2020-07-07 01:27:56] 76561198050722159: Set overcast to 0.01 0 0
[COT 2020-07-07 01:27:56] 76561198050722159: Set the date to 2020/8/10 9:26
[COT 2020-07-07 01:27:59] 76561198050722159: Set rain to 0 0 0
[COT 2020-07-07 01:27:59] 76561198050722159: Set storm to 0 0.8 4000
[COT 2020-07-07 01:27:59] 76561198050722159: Set fog to 0.01 0 0
[COT 2020-07-07 01:27:59] 76561198050722159: Set overcast to 0.01 0 0
[COT 2020-07-07 01:27:59] 76561198050722159: Set the date to 2020/8/10 9:21
[COT 2020-07-07 01:27:59] 76561198050722159: Set wind to 0.01 0.01 1
[COT 2020-07-07 01:28:02] 76561198050722159: Set wind to 0.01 0.49 1
[COT 2020-07-07 01:28:02] 76561198050722159: Set wind to 0.01 0.49 1
[COT 2020-07-07 01:28:04] 76561198050722159: Set rain to 0 0 0
[COT 2020-07-07 01:28:04] 76561198050722159: Set storm to 0 0.8 4000
[COT 2020-07-07 01:28:04] 76561198050722159: Set fog to 0.01 0 0
[COT 2020-07-07 01:28:04] 76561198050722159: Set overcast to 0.01 0 0
[COT 2020-07-07 01:28:04] 76561198050722159: Set the date to 2020/8/10 9:21
[COT 2020-07-07 01:28:04] 76561198050722159: Set wind to 0.49 0.49 1
[COT 2020-07-07 01:28:05] 76561198050722159: Set wind to 0.49 0.03 1
[COT 2020-07-07 01:28:06] 76561198050722159: Set wind to 0.49 0.03 1
[COT 2020-07-07 01:28:06] 76561198050722159: Set rain to 0 0 0
[COT 2020-07-07 01:28:06] 76561198050722159: Set storm to 0 0.8 4000
[COT 2020-07-07 01:28:06] 76561198050722159: Set fog to 0.01 0 0
[COT 2020-07-07 01:28:06] 76561198050722159: Set overcast to 0.01 0 0
[COT 2020-07-07 01:28:06] 76561198050722159: Set the date to 2020/8/10 9:21
[COT 2020-07-07 01:28:06] 76561198050722159: Set wind to 0.03 0.03 1
[COT 2020-07-07 01:30:32] 76561198050722159: Spawned Entity SR-25 Extended Magazine (Mag_AKM_30Rnd<b3e36750>, 1, 100) at <13294.248047, 5.549161, 7004.338867>
[COT 2020-07-07 01:31:47] 76561198050722159: Spawned Entity TX15 (Black) (M4A1_Base<b3d4f9b0>, -1, 100) at <13290.994141, 5.910000, 6993.818359>
[COT 2020-07-07 01:35:56] 76561198050722159: Spawned Entity Cheytac M200 (CZ527_Base<b3d23300>, -1, 100) at <13287.454102, 5.920620, 6998.887695>
[COT 2020-07-07 01:40:36] 76561198050722159: Spawned Entity Military Airdrop (ExpansionAirdropContainerBase<25661430>, -1, 100) at <13287.555664, 5.908725, 6998.459473>
[COT 2020-07-07 01:41:25] 76561198050722159: Spawned Entity Airdrop (ExpansionAirdropContainerBase<2564a930>, -1, 100) at <13282.951172, 5.909967, 6993.621582>
[COT 2020-07-07 01:41:31] 76561198050722159: Spawned Entity Medical Airdrop (ExpansionAirdropContainerBase<2564b0c0>, -1, 100) at <13283.125000, 6.103594, 6994.156738>
[COT 2020-07-07 01:41:35] 76561198050722159: Spawned Entity Basebuilding Airdrop (ExpansionAirdropContainerBase<1f3e8500>, -1, 100) at <13283.300781, 6.282549, 6994.664551>
[COT 2020-07-07 01:41:56] 76561198050722159: Set wind to 9.03481 0.01 1
[COT 2020-07-07 01:41:56] 76561198050722159: Set wind to 9.03481 0.01 1
[COT 2020-07-07 01:41:57] 76561198050722159: Set rain to 0.02 0 0
[COT 2020-07-07 01:41:57] 76561198050722159: Set storm to 0.0004 0.8 4000
[COT 2020-07-07 01:41:57] 76561198050722159: Set rain to 0.02 0 0
[COT 2020-07-07 01:41:57] 76561198050722159: Set storm to 0.0004 0.8 4000
[COT 2020-07-07 01:41:58] 76561198050722159: Set rain to 0.02 0 0
[COT 2020-07-07 01:41:58] 76561198050722159: Set storm to 0.0004 0.8 4000
[COT 2020-07-07 01:41:58] 76561198050722159: Set fog to 0.0111138 0 0
[COT 2020-07-07 01:41:58] 76561198050722159: Set overcast to 0.79986 0 0
[COT 2020-07-07 01:41:58] 76561198050722159: Set the date to 2020/8/10 9:34
[COT 2020-07-07 01:41:58] 76561198050722159: Set wind to 0.01 0.01 1
[COT 2020-07-07 01:45:52] 76561198050722159: Set rain to 0.01 0 0
[COT 2020-07-07 01:45:52] 76561198050722159: Set storm to 0.0001 0.8 4000
[COT 2020-07-07 01:45:52] 76561198050722159: Set rain to 0.01 0 0
[COT 2020-07-07 01:45:52] 76561198050722159: Set storm to 0.0001 0.8 4000
[COT 2020-07-07 01:45:54] 76561198050722159: Set rain to 0.01 0 0
[COT 2020-07-07 01:45:54] 76561198050722159: Set storm to 0.0001 0.8 4000
[COT 2020-07-07 01:45:54] 76561198050722159: Set fog to 0.01424 0 0
[COT 2020-07-07 01:45:54] 76561198050722159: Set overcast to 0.652149 0 0
[COT 2020-07-07 01:45:54] 76561198050722159: Set the date to 2020/8/10 9:37
[COT 2020-07-07 01:45:54] 76561198050722159: Set wind to 0.606253 0.606253 1
[COT 2020-07-07 01:46:00] 76561198050722159: Set overcast to 0.02 0 0
[COT 2020-07-07 01:46:00] 76561198050722159: Set the date to 2020/8/10 9:42
[COT 2020-07-07 01:46:00] 76561198050722159: Set overcast to 0.02 0 0
