[COT 2020-07-26 03:15:39] 76561197997236738: Healed [guid=uvtdMd_cBerqVHmKHzn52eKFl-8jD7P9CNZONWv9pR0=]
[COT 2020-07-26 03:15:40] 76561197997236738: Set UnlimitedAmmo To true [guid=uvtdMd_cBerqVHmKHzn52eKFl-8jD7P9CNZONWv9pR0=]
[COT 2020-07-26 03:18:38] 76561197997236738: Healed [guid=uvtdMd_cBerqVHmKHzn52eKFl-8jD7P9CNZONWv9pR0=]
[COT 2020-07-26 03:18:41] 76561197997236738: Healed [guid=uvtdMd_cBerqVHmKHzn52eKFl-8jD7P9CNZONWv9pR0=]
[COT 2020-07-26 03:18:42] 76561197997236738: Set UnlimitedAmmo To true [guid=uvtdMd_cBerqVHmKHzn52eKFl-8jD7P9CNZONWv9pR0=]
[COT 2020-07-26 03:18:55] 76561197997236738: Healed [guid=uvtdMd_cBerqVHmKHzn52eKFl-8jD7P9CNZONWv9pR0=]
[COT 2020-07-26 03:20:08] 76561197997236738: Spawned vehicle An-2 (ExpansionAn2) at <9510.205078, 5.669955, 2032.447021>
[COT 2020-07-26 03:21:02] 76561197997236738: Teleported to position <1113.958130, 5.487307, 2407.621826>
[COT 2020-07-26 03:21:51] 76561197997236738: Set rain to 0 0 0
[COT 2020-07-26 03:21:51] 76561197997236738: Set storm to 0 0.8 4000
[COT 2020-07-26 03:21:51] 76561197997236738: Set fog to 0.0222689 0 0
[COT 2020-07-26 03:21:51] 76561197997236738: Set overcast to 0.107735 0 0
[COT 2020-07-26 03:21:51] 76561197997236738: Set the date to 2020/1/4 20:18
[COT 2020-07-26 03:21:51] 76561197997236738: Set wind to 9.15644 9.15644 1
[COT 2020-07-26 03:21:53] 76561197997236738: Set rain to 0 0 0
[COT 2020-07-26 03:21:53] 76561197997236738: Set storm to 0 0.8 4000
[COT 2020-07-26 03:21:53] 76561197997236738: Set fog to 0.0222689 0 0
[COT 2020-07-26 03:21:53] 76561197997236738: Set overcast to 0.107735 0 0
[COT 2020-07-26 03:21:53] 76561197997236738: Set the date to 2020/1/19 20:18
[COT 2020-07-26 03:21:53] 76561197997236738: Set wind to 9.15644 9.15644 1
[COT 2020-07-26 03:21:55] 76561197997236738: Set rain to 0 0 0
[COT 2020-07-26 03:21:55] 76561197997236738: Set storm to 0 0.8 4000
[COT 2020-07-26 03:21:55] 76561197997236738: Set fog to 0.0222689 0 0
[COT 2020-07-26 03:21:55] 76561197997236738: Set overcast to 0.107735 0 0
[COT 2020-07-26 03:21:55] 76561197997236738: Set the date to 2020/2/6 20:18
[COT 2020-07-26 03:21:55] 76561197997236738: Set wind to 9.15644 9.15644 1
[COT 2020-07-26 03:21:56] 76561197997236738: Set rain to 0 0 0
[COT 2020-07-26 03:21:56] 76561197997236738: Set storm to 0 0.8 4000
[COT 2020-07-26 03:21:56] 76561197997236738: Set fog to 0.0222689 0 0
[COT 2020-07-26 03:21:56] 76561197997236738: Set overcast to 0.107735 0 0
[COT 2020-07-26 03:21:56] 76561197997236738: Set the date to 2020/4/12 20:18
[COT 2020-07-26 03:21:56] 76561197997236738: Set wind to 9.15644 9.15644 1
[COT 2020-07-26 03:21:57] 76561197997236738: Set rain to 0 0 0
[COT 2020-07-26 03:21:57] 76561197997236738: Set storm to 0 0.8 4000
[COT 2020-07-26 03:21:57] 76561197997236738: Set fog to 0.0222689 0 0
[COT 2020-07-26 03:21:57] 76561197997236738: Set overcast to 0.107735 0 0
[COT 2020-07-26 03:21:57] 76561197997236738: Set the date to 2020/4/12 20:18
[COT 2020-07-26 03:21:57] 76561197997236738: Set wind to 9.15644 9.15644 1
[COT 2020-07-26 03:21:58] 76561197997236738: Set rain to 0 0 0
[COT 2020-07-26 03:21:58] 76561197997236738: Set storm to 0 0.8 4000
[COT 2020-07-26 03:21:58] 76561197997236738: Set fog to 0.0222689 0 0
[COT 2020-07-26 03:21:58] 76561197997236738: Set overcast to 0.107735 0 0
[COT 2020-07-26 03:21:58] 76561197997236738: Set the date to 2020/6/17 20:18
[COT 2020-07-26 03:21:58] 76561197997236738: Set wind to 9.15644 9.15644 1
[COT 2020-07-26 03:21:58] 76561197997236738: Set rain to 0 0 0
[COT 2020-07-26 03:21:58] 76561197997236738: Set storm to 0 0.8 4000
[COT 2020-07-26 03:21:58] 76561197997236738: Set fog to 0.0222689 0 0
[COT 2020-07-26 03:21:58] 76561197997236738: Set overcast to 0.107735 0 0
[COT 2020-07-26 03:21:58] 76561197997236738: Set the date to 2020/6/17 20:18
[COT 2020-07-26 03:21:58] 76561197997236738: Set wind to 9.15644 9.15644 1
[COT 2020-07-26 03:26:49] 76561197997236738: Set rain to 0 0 0
[COT 2020-07-26 03:26:49] 76561197997236738: Set storm to 0 0.8 4000
[COT 2020-07-26 03:26:49] 76561197997236738: Set fog to 0.0234883 0 0
[COT 2020-07-26 03:26:49] 76561197997236738: Set overcast to 0 0 0
[COT 2020-07-26 03:26:49] 76561197997236738: Set the date to 2020/6/17 20:22
[COT 2020-07-26 03:26:49] 76561197997236738: Set wind to 0.02 0.02 1
[COT 2020-07-26 03:26:53] 76561197997236738: Set rain to 0 0 0
[COT 2020-07-26 03:26:53] 76561197997236738: Set storm to 0 0.8 4000
[COT 2020-07-26 03:26:53] 76561197997236738: Set fog to 0.0234883 0 0
[COT 2020-07-26 03:26:53] 76561197997236738: Set overcast to 0 0 0
[COT 2020-07-26 03:26:53] 76561197997236738: Set the date to 2020/9/20 20:22
[COT 2020-07-26 03:26:53] 76561197997236738: Set wind to 0.02 0.02 1
[COT 2020-07-26 03:26:54] 76561197997236738: Set rain to 0 0 0
[COT 2020-07-26 03:26:54] 76561197997236738: Set storm to 0 0.8 4000
[COT 2020-07-26 03:26:54] 76561197997236738: Set fog to 0.0234883 0 0
[COT 2020-07-26 03:26:54] 76561197997236738: Set overcast to 0 0 0
[COT 2020-07-26 03:26:54] 76561197997236738: Set the date to 2020/10/15 20:22
[COT 2020-07-26 03:26:54] 76561197997236738: Set wind to 0.02 0.02 1
[COT 2020-07-26 03:26:56] 76561197997236738: Set rain to 0 0 0
[COT 2020-07-26 03:26:56] 76561197997236738: Set storm to 0 0.8 4000
[COT 2020-07-26 03:26:56] 76561197997236738: Set fog to 0.0234883 0 0
[COT 2020-07-26 03:26:56] 76561197997236738: Set overcast to 0 0 0
[COT 2020-07-26 03:26:56] 76561197997236738: Set the date to 2020/6/13 20:22
[COT 2020-07-26 03:26:56] 76561197997236738: Set wind to 0.02 0.02 1
[COT 2020-07-26 03:26:58] 76561197997236738: Set rain to 0 0 0
[COT 2020-07-26 03:26:58] 76561197997236738: Set storm to 0 0.8 4000
[COT 2020-07-26 03:26:58] 76561197997236738: Set fog to 0.0234883 0 0
[COT 2020-07-26 03:26:58] 76561197997236738: Set overcast to 0 0 0
[COT 2020-07-26 03:26:58] 76561197997236738: Set the date to 2020/4/20 20:22
[COT 2020-07-26 03:26:58] 76561197997236738: Set wind to 0.02 0.02 1
[COT 2020-07-26 03:27:02] 76561197997236738: Set rain to 0 0 0
[COT 2020-07-26 03:27:02] 76561197997236738: Set storm to 0 0.8 4000
[COT 2020-07-26 03:27:02] 76561197997236738: Set fog to 0.0234883 0 0
[COT 2020-07-26 03:27:02] 76561197997236738: Set overcast to 0 0 0
[COT 2020-07-26 03:27:02] 76561197997236738: Set the date to 2020/4/20 0:14
[COT 2020-07-26 03:27:02] 76561197997236738: Set wind to 0.02 0.02 1
[COT 2020-07-26 03:27:07] 76561197997236738: Set rain to 0 0 0
[COT 2020-07-26 03:27:07] 76561197997236738: Set storm to 0 0.8 4000
[COT 2020-07-26 03:27:07] 76561197997236738: Set fog to 0.0234883 0 0
[COT 2020-07-26 03:27:07] 76561197997236738: Set overcast to 0 0 0
[COT 2020-07-26 03:27:07] 76561197997236738: Set the date to 2020/12/20 0:14
[COT 2020-07-26 03:27:07] 76561197997236738: Set wind to 0.02 0.02 1
[COT 2020-07-26 03:27:10] 76561197997236738: Set rain to 0 0 0
[COT 2020-07-26 03:27:10] 76561197997236738: Set storm to 0 0.8 4000
[COT 2020-07-26 03:27:10] 76561197997236738: Set fog to 0.0234883 0 0
[COT 2020-07-26 03:27:10] 76561197997236738: Set overcast to 0 0 0
[COT 2020-07-26 03:27:10] 76561197997236738: Set the date to 2020/12/20 8:38
[COT 2020-07-26 03:27:10] 76561197997236738: Set wind to 0.02 0.02 1
[COT 2020-07-26 03:27:33] 76561197997236738: ESP: Viewing ESP
