

[2020-10-15 01:07:58] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 01:09:10] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 01:09:25] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 01:10:44] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 01:11:38] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 01:13:18] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 01:13:39] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 01:15:01] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 01:15:34] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 01:17:09] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 01:18:12] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 01:19:20] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 01:21:01] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 01:21:52] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 01:21:56] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 01:21:56] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-10-15 17:19:28] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 17:20:47] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 17:22:47] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 17:25:40] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 17:28:23] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 17:29:49] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 17:30:54] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 17:33:40] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 17:35:42] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 17:36:58] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 17:39:55] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-10-15 17:40:17] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
